"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories","https://scispace.com/paper/security-vulnerabilities-in-ai-generated-code-a-large-scale-pernlnl0ilv9","2025","Journal Article","","M Schreiber
P Tippe","10.48550/arxiv.2510.26103","https://arxiv.org/pdf/2510.26103","… differences in security performance, with GitHub Copilot achieving better … CodeWhisperer Footnote 4 completes our selection as a major cloud provider’s entry in the code generation …","This paper presents a comprehensive empirical analysis of security vulnerabilities in AI-generated code across public GitHub repositories. We collected and analyzed 7,703 files explicitly attributed to four major AI tools: ChatGPT (91.52\%), GitHub Copilot (7.50\%), Amazon CodeWhisperer (0.52\%), and Tabnine (0.46\%). Using CodeQL static analysis, we identified 4,241 Common Weakness Enumeration (CWE) instances across 77 distinct vulnerability types. Our findings reveal that while 87.9\% of AI-generated code does not contain identifiable CWE-mapped vulnerabilities, significant patterns emerge regarding language-specific vulnerabilities and tool performance. Python consistently exhibited higher vulnerability rates (16.18\%-18.50\%) compared to JavaScript (8.66\%-8.99\%) and TypeScript (2.50\%-7.14\%) across all tools. We observed notable differences in security performance, with GitHub Copilot achieving better security density for Python (1,739 LOC per CWE) and TypeScript, while ChatGPT performed better for JavaScript. Additionally, we discovered widespread use of AI tools for documentation generation (39\% of collected files), an understudied application with implications for software maintainability. These findings extend previous work with a significantly larger dataset and provide valuable insights for developing language-specific and context-aware security practices for the responsible integration of AI-generated code into software development workflows. "
"Bugs in large language models generated code: An empirical study","https://scispace.com/paper/bugs-in-large-language-models-generated-code-an-empirical-4809oz2ll3","2024","Journal Article","arXiv.org","Florian Tambon
Arghavan Moradi Dakhel
Amin Nikanjam
Foutse Khomh
Michel C. Desmarais
Giuliano Antoniol","10.48550/arxiv.2403.08937","https://arxiv.org/pdf/2403.08937","… Given the increasing adoption of LLM-based code generation tools (eg, GitHub Copilot) in SE activities, it is critical to understand the characteristics of bugs contained in code …","Large Language Models (LLMs) for code have gained significant attention recently. They can generate code in different programming languages based on provided prompts, fulfilling a long-lasting dream in Software Engineering (SE), i.e., automatic code generation. Similar to human-written code, LLM-generated code is prone to bugs, and these bugs have not yet been thoroughly examined by the community. Given the increasing adoption of LLM-based code generation tools (e.g., GitHub Copilot) in SE activities, it is critical to understand the characteristics of bugs contained in code generated by LLMs. This paper examines a sample of 333 bugs collected from code generated using three leading LLMs (i.e., CodeGen, PanGu-Coder, and Codex) and identifies the following 10 distinctive bug patterns: Misinterpretations, Syntax Error, Silly Mistake, Prompt-biased code, Missing Corner Case, Wrong Input Type, Hallucinated Object, Wrong Attribute, Incomplete Generation, and Non-Prompted Consideration. The bug patterns are presented in the form of a taxonomy. The identified bug patterns are validated using an online survey with 34 LLM practitioners and researchers. The surveyed participants generally asserted the significance and prevalence of the bug patterns. Researchers and practitioners can leverage these findings to develop effective quality assurance techniques for LLM-generated code. This study sheds light on the distinctive characteristics of LLM-generated code."
"Empirical Evaluation of the Energy Impact of Large Language Models for Code Generation and Optimization","https://scispace.com/paper/kXa85EWSEu0J","","","","T Coignion","","https://theses.hal.science/tel-05369950/file/manuscript.pdf","… As all the LLMs (except GitHub Copilot) we evaluated were trained using datasets older than these problems, we avoid any data contamination. As these problems are published by …",""
"Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models","https://scispace.com/paper/expectation-vs-experience-evaluating-the-usability-of-code-3c2fciyq","2022","Proceedings Article","CHI Conference on Human Factors in Computing Systems Extended Abstracts","Priyan Vaithilingam
Tianyi Zhang
Elena L. Glassman","10.1145/3491101.3519665","https://dl.acm.org/doi/pdf/10.1145/3491101.3519665","… This paper presents a user study with 24 participants on the usability of GitHub Copilot, a groundbreaking code generation tool empowered by an ultra-large language model. In …","Recent advances in Large Language Models (LLM) have made automatic code generation possible for real-world programming tasks in general-purpose programming languages such as Python. However, there are few human studies on the usability of these tools and how they fit the programming workflow. In this work, we conducted a within-subjects user study with 24 participants to understand how programmers use and perceive Copilot, a LLM-based code generation tool. We found that, while Copilot did not necessarily improve the task completion time or success rate, most participants preferred to use Copilot in daily programming tasks, since Copilot often provided a useful starting point and saved the effort of searching online. However, participants did face difficulties in understanding, editing, and debugging code snippets generated by Copilot, which significantly hindered their task-solving effectiveness. Finally, we highlighted several promising directions for improving the design of Copilot based on our observations and participants’ feedback."
"Code on demand: A comparative analysis of the efficiency understandability and self-correction capability of copilot chatgpt and gemini","https://scispace.com/paper/code-on-demand-a-comparative-analysis-of-the-efficiency-6p3mvilmk5ju","2024","Journal Article","","Samuel Silvestre Batista
Bruno Castelo Branco
Otávio Cury
Guilherme Avelino","10.1145/3701625.3701673","https://dl.acm.org/doi/pdf/10.1145/3701625.3701673","… AI code generation tools: GitHub Copilot, ChatGPT, and Gemini. We replicate and extend the study by Nguyen and Nadi, evaluating the tools’ performance … in performance between the …",""
"{CodexLeaks}: Privacy leaks from code generation language models in {GitHub} copilot","https://scispace.com/paper/CkM2E9DnGDYJ","","","","L Niu
S Mirza
Z Maradni
C Pöpper","","https://www.usenix.org/system/files/usenixsecurity23-niu.pdf","… We evaluate our technique on three diverse code generation LLMs: CodeParrot [1], Poly… , consisting of targeted prompt construction for code generation models, parameter tuning, and …",""
"From Developer Assistance to Complete Development Automation: A Workflow-Centric Framework for AI Code Generation","https://scispace.com/paper/from-developer-assistance-to-complete-development-automation-bv2fkje8j3wn","2025","Journal Article","","В. Д. Сонькин
Cătălin Tudose","10.20944/preprints202501.2340.v1","https://www.preprints.org/frontend/manuscript/6b6ffe9a6cd3518e4ceb88183170fda7/download_pub","… suggested have the highest correctness score for Java … assessment from [14], GitHub Copilot was able to generate valid code with a 91.5% success rate. Examining the code correctness…","Recent advancements in AI-assisted coding tools, such as GitHub Copilot and Cursor, have introduced real-time assistance by suggesting code snippets and improving productivity in isolated coding tasks. However, their scope remains limited to snippet-level assistance, lacking the ability to automate the entire software development lifecycle. This paper proposes a workflow-centric framework for AI-driven code generation that addresses this gap by enabling end-to-end automation—from requirements gathering and code generation to testing, refactoring, and deployment. The framework introduces key components, including feeding the necessary context to LLMs, automatic parsing of generated code, and automatic rollbacks to ensure reliability and scalability. By adopting these foundational building blocks, developers can automate multi-step workflows and streamline repetitive tasks. The reference implementation, JAIG (Java AI-powered Generator), serves as a proof of concept, showcasing how the framework can be implemented. JAIG demonstrates the potential for AI to reshape software engineering practices by moving beyond snippet suggestions toward comprehensive development automation of repetitive tasks. "
"AI for coders: An analysis of the usage of ChatGPT and GitHub CoPilot","https://scispace.com/paper/ai-for-coders-an-analysis-of-the-usage-of-chatgpt-and-github-5n6hg2v7bpkd","","Journal Article","Issues in information systems","A Peslak
L Kovalchick","10.48009/4_iis_2024_120","https://iacis.org/iis/2024/4_iis_2024_252-260.pdf","… for productivity enhancement. In our study, we analyze the usage of ChatGPT and GitHub CoPilot. … Their study found useful code generation to be the primary benefit to the use of …",""
"LLMs for science: Usage for code generation and data analysis","https://scispace.com/paper/llms-for-science-usage-for-code-generation-and-data-analysis-4xaa6j4hz0","2023","Journal Article","arXiv.org","Mohamed Nejjar
Luca Zacharias
Fabian Stiehle
Ingo Weber","10.48550/arxiv.2311.16733","https://onlinelibrary.wiley.com/doi/pdf/10.1002/smr.2723","… GitHub Copilot. Open source alternatives such as CodeParrot, 4 CodeBert, 15 or PolyCoder 16 exist; however, their functional correctness … ChatGPT and Bing Chat are based on the …","Large language models (LLMs) have been touted to enable increased productivity in many areas of today's work life. Scientific research as an area of work is no exception: the potential of LLM-based tools to assist in the daily work of scientists has become a highly discussed topic across disciplines. However, we are only at the very onset of this subject of study. It is still unclear how the potential of LLMs will materialise in research practice. With this study, we give first empirical evidence on the use of LLMs in the research process. We have investigated a set of use cases for LLM-based tools in scientific research, and conducted a first study to assess to which degree current tools are helpful. In this paper we report specifically on use cases related to software engineering, such as generating application code and developing scripts for data analytics. While we studied seemingly simple use cases, results across tools differ significantly. Our results highlight the promise of LLM-based tools in general, yet we also observe various issues, particularly regarding the integrity of the output these tools provide."
"A closer look at different difficulty levels code generation abilities of chatgpt","https://scispace.com/paper/a-closer-look-at-different-difficulty-levels-code-generation-2vqvuy6qyf","2023","Proceedings Article","","Dapeng Yan
Zhipeng Gao
Zhiming Liu","10.1109/ase56229.2023.00096","https://zpgao.github.io/papers/A_Closer_Look_at_Code_Generation_Abilities_of_ChatGPT.pdf","… competition problems, the evaluation results show that it can … information) to ChatGPT, we observe that ChatGPT has the … Finally, we evaluate the code quality generated by ChatGPT …","Code generation aims to generate source code implementing human requirements illustrated with natural language specifications. With the rapid development of intelligent software engineering, automated code generation has become a hot research topic in both artificial intelligence and software engineering, and researchers have made significant achievements on code generation. More recently, large language models (LLMs) have demonstrated outstanding performance on code generation tasks, such as ChatGPT released by OpenAI presents the fantastic potential on automated code generation. However, the existing studies are limited to exploring LLMs' ability for generating code snippets to solve simple programming problems, the task of competition-level code generation has never been investigated. The specifications of the programming competition are always complicated and require the specific input/output format as well as the high-level algorithmic reasoning ability. In this study, we conduct the first large empirical study to investigate the zero-shot learning ability of ChatGPT for solving competition programming problems. Specifically, we warm up the design of prompts by using the Human-Eval dataset. Then, we apply the well-designed prompt to the competition-level code generation dataset, namely APPS, to further explore the effectiveness of using ChatGPT for solving competition problems. We collect ChatGPT's outputs on 5,000 code competition problems, the evaluation results show that it can successfully pass 25.4% test cases. By further feeding extra information (e.g, test failed information) to ChatGPT, we observe that ChatGPT has the potential to fix partial pass into a fully pass program. Moreover, we investigate the solutions generated by LLMs and the existing solutions, we find that it prefers to directly copy the code instead of re-write when facing more difficult problems. Finally, we evaluate the code quality generated by ChatGPT in terms of “code cleanness”, we observe that the generated codes are with small functions and file sizes, which are in line with the standard of clean code."
"Evaluating the Limitations of Local LLMs in Solving Complex Programming Challenges","https://scispace.com/paper/evaluating-the-limitations-of-local-llms-in-solving-complex-nnuknnhdfz1f","2025","Journal Article","","Amiruzzaman Md.
Ngo, Linh B.","10.48550/arxiv.2509.15283","https://arxiv.org/pdf/2509.15283?","… for AI-driven Code Generation Evaluation (FACE) and applying it to the same comprehensive set of Kattis problems. Whereas [16] evaluated proprietary ChatGPT-4 and Gemini 1.5, we …","This study examines the performance of today's open-source, locally hosted large-language models (LLMs) in handling complex competitive programming tasks with extended problem descriptions and contexts. Building on the original Framework for AI-driven Code Generation Evaluation (FACE), the authors retrofit the pipeline to work entirely offline through the Ollama runtime, collapsing FACE's sprawling per-problem directory tree into a handful of consolidated JSON files, and adding robust checkpointing so multi-day runs can resume after failures. The enhanced framework generates, submits, and records solutions for the full Kattis corpus of 3,589 problems across eight code-oriented models ranging from 6.7-9 billion parameters. The submission results show that the overall pass@1 accuracy is modest for the local models, with the best models performing at approximately half the acceptance rate of the proprietary models, Gemini 1.5 and ChatGPT-4. These findings expose a persistent gap between private, cost-controlled LLM deployments and state-of-the-art proprietary services, yet also highlight the rapid progress of open models and the practical benefits of an evaluation workflow that organizations can replicate on in-house hardware. "
"Comparative Analysis of AI Models for Python Code Generation: A HumanEval Benchmark Study","https://scispace.com/paper/comparative-analysis-of-ai-models-for-python-code-generation-z10iycha80og","2025","Journal Article","Applied Sciences","Ali Bayram
Gonca Gökçe Menekşe Dalveren
Mohammad Derawi","10.3390/app15189907","","… The evolution of ChatGPT and similar models for programming applications demonstrates the rapid pace of advancement in this field, making comparative studies increasingly …","This study conducts a comprehensive comparative analysis of six contemporary artificial intelligence models for Python code generation using the HumanEval benchmark. The evaluated models include GPT-3.5 Turbo, GPT-4 Omni, Claude 3.5 Sonnet, Claude 3.7 Sonnet, Claude Sonnet 4, and Claude Opus 4. A total of 164 Python programming problems were utilized to assess model performance through a multi-faceted methodology incorporating automated functional correctness evaluation via the Pass@1 metric, cyclomatic complexity analysis, maintainability index calculations, and lines-of-code assessment. The results indicate that Claude Sonnet 4 achieved the highest performance with a success rate of 95.1%, followed closely by Claude Opus 4 at 94.5%. Across all metrics, models developed by Anthropic Claude consistently outperformed those developed by OpenAI GPT by margins exceeding 20%. Statistical analysis further confirmed the existence of significant differences between the model families (p &lt; 0.001). Anthropic Claude models were observed to generate more sophisticated and maintainable solutions with superior syntactic accuracy. In contrast, OpenAI GPT models tended to adopt simpler strategies but exhibited notable limitations in terms of reliability. These findings offer evidence-based insights to guide the selection of AI-powered coding assistants in professional software development contexts. "
"AI-powered, but power-hungry? Energy efficiency of LLM-generated code","https://scispace.com/paper/ai-powered-but-power-hungry-energy-efficiency-of-llm-jdh6wovzv5an","2025","Journal Article","arXiv.org","Lola Solovyeva
Sophie Weidmann
Fernando Castor Filho","10.48550/arxiv.2502.02412","https://arxiv.org/pdf/2502.02412","… accuracy of code generation has generally improved in OpenAI o1-mini compared to GPT-4o and GitHub Copilot … research is to evaluate the current capabilities of GitHub Copilot, GPT-…",""
"No need to lift a finger anymore? assessing the quality of code generation by chatgpt","https://scispace.com/paper/no-need-to-lift-a-finger-anymore-assessing-the-quality-of-3adnqiqcwv","2023","Journal Article","arXiv.org","Zhijie Liu
Yutian Tang
Xiapu Luo
Yuming Zhou
Liang Feng Zhang","10.48550/arxiv.2308.04838","https://eprints.gla.ac.uk/324588/1/324588.pdf","… ) of facilitating code generation. By … the performance of ChatGPT in tackling code generation tasks over the three critical aspects. The experimental results demonstrate that (1) ChatGPT …","Large language models (LLMs) have demonstrated impressive capabilities across various NLP tasks. Additionally, LLMs are also highly valuable in supporting software engineering tasks, particularly in the field of code generation. Automatic code generation is a process of automatically generating source code or executable code based on given specifications or requirements, improving developer productivity. In this study, we perform a systematic empirical assessment to the quality of code generation using ChatGPT. We leverage 728 algorithm problems in five languages (i.e., C, C++, Java, Python, and JavaScript) and 18 CWEs with 54 code scenarios for the code generation task. Our evaluation encompasses a comprehensive analysis of code snippets generated by ChatGPT, focusing on three critical aspects: correctness, complexity, and security. We also specifically investigate ChatGPT's ability to engage in multi-round fixing process (i.e., ChatGPT's dialog ability) of facilitating code generation. By delving into the generated code and examining the experimental results, this work provides valuable insights into the performance of ChatGPT in tackling code generation tasks over the three critical aspects. Overall, our findings uncover potential issues and limitations that arise in the ChatGPT-based code generation and lay the groundwork for improving AI and LLM-based code generation techniques."
"Does ChatGPT help novice programmers write better code? Results from static code analysis","https://scispace.com/paper/does-chatgpt-help-novice-programmers-write-better-code-4blwyf23y5","2024","Preprint","","Philipp Haindl
Gerald Weinberger","10.20944/preprints202406.1151.v1","https://ieeexplore.ieee.org/iel8/6287639/6514899/10638538.pdf","… This study investigates the impact of ChatGPT on code quality … ChatGPT) and 22 students from the treatment group (with … evaluate GitHub Copilot’s code generation based on validity, …","In the rapidly evolving landscape of AI-supported programming education, there&amp;#039;s a growing interest in leveraging such tools to support students helping about what good code makes out. This study investigates the impact of ChatGPT on code quality among part-time undergraduate students enrolled in introductory Java programming courses. With no prior Java experience, students from two separate groups completed identical programming exercises emphasizing coding conventions and code quality. Utilizing static code analysis tools, we assessed adherence to a common coding convention ruleset and calculated cyclomatic and cognitive complexity metrics for submitted code. Our comparative analysis highlights significant improvements in code quality for the ChatGPT-assisted group (treatment group), with marked reductions in rule violations and both cyclomatic and cognitive complexities. Specifically, the treatment group demonstrated greater adherence to coding standards, with fewer violations across several rules, and produced code with lower complexity. These results suggest that ChatGPT can be a valuable tool in programming education, aiding students in writing cleaner, less complex code and better adhering to coding conventions. However, the study&amp;#039;s limitations, including the small sample size and the novice status of the participants, necessitate further research with larger, more diverse populations and in different educational contexts. "
"Automated code generation & ai tools: From Ideas to Applications","https://scispace.com/paper/Vs4jopIWqPEJ","","","","J Turunen
A Fagerholm","","https://www.researchgate.net/profile/Joni-Turunen/publication/376174254_Technology_Report_From_Ideas_to_Applications/links/656c58e7b86a1d521b2d792b/Technology-Report-From-Ideas-to-Applications.pdf","… This rapid growth had an explosive ignition with the release of ChatGPT to the public … With the tools like ChatGPT and Copilot the capabilities for automated code generation has greatly …",""
